raw,binomial,common,group,family,domestic
grey_heron_,Ardea cinerea,grey heron,Pelecaniformes,,
grey_seal,Halichoerus grypus,grey seal,Carnivora,,
Grey_seal,Halichoerus grypus,grey seal,Carnivora,,
grey_teal,Halichoerus grypus,grey seal,Carnivora,,
Grey_Teal,Halichoerus grypus,grey seal,Carnivora,,
grey-faced_buzzard,Butastur indicus,grey-faced buzzard,Accipitriformes,,
grey-headed_gull,Chroicocephalus cirrocephalus,grey-headed gull,Charadriiformes,,
Grey-Headed_Gull,Chroicocephalus cirrocephalus,grey-headed gull,Charadriiformes,,
greylag_goose,Anser anser,greylag goose,Anseriformes,,
Greylag_goose,Anser anser,greylag goose,Anseriformes,,
Greylag_Goose,Anser anser,greylag goose,Anseriformes,,
greylag_goose_,Anser anser,greylag goose,Anseriformes,,
Guinea_fowl,,guineafowl,Galliformes,Numididae,
Guinea_Fowl,,guineafowl,Galliformes,Numididae,
guinea_fowl,,guineafowl,Galliformes,Numididae,
Guineafowl,,guineafowl,Galliformes,Numididae,
guineafowl,,guineafowl,Galliformes,Numididae,
GuineaFowl,,guineafowl,Galliformes,Numididae,
gull,,gull,Charadriiformes,Laridae,
Gull,,gull,Charadriiformes,Laridae,
Gull1,,gull,Charadriiformes,Laridae,
Gull10,,gull,Charadriiformes,Laridae,
Gypaetus_barbatus,Gypaetus barbatus,bearded vulture,Accipitriformes,,
Gyps_fulvus,Gyps fulvus,Eurasian griffon vulture,Accipitriformes,,
gyrfalcon,Falco rusticolus,gyrfalcon,Falconiformes,,
harbor_seal,Phoca vitulina,harbor seal,Carnivora,,
harbour_seal,Phoca vitulina,harbor seal,Carnivora,,
Harris_Hawk,Parabuteo unicinctus,Harris's hawk,Accipitriformes,,
Harris_hawk,Parabuteo unicinctus,Harris's hawk,Accipitriformes,,
Hawaiian_goose,Branta sandvicensis,nene,Anseriformes,,
hawk,,hawk,Accipitriformes,Accipitridae,
hen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
heron,,heron,Pelecaniformes,Ardeidae,
Heron,,heron,Pelecaniformes,Ardeidae,
Herring_gull,Larus sp.,herring gull,Casuariiformes,,
herring_gull,Larus sp.,herring gull,Casuariiformes,,
Herring_Gull,Larus sp.,herring gull,Casuariiformes,,
Hoabara,Chlamydotis undulata,houbara bustard,Otidiformes,,
Holland_pigeon,,pigeon,Columbiformes,Columbidae,y
hooded_crane,Grus monacha,hooded crane,Gruiformes,,
hooded_merganser,Lophodytes cucullatus,hooded merganser,Anseriformes,,
house_sparrow,Passer domesticus,house sparrow,Passeriformes,,
ibis,,ibis,Pelecaniformes,Threskiornithidae,
Indian_peafowl,Pavo cristatus,Indian peafowl,Galliformes,,
Indian_Runner_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Indian_Runner_Duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Jungle_crow,Corvus sp.,jungle crow,Passeriformes,,
jungle_crow,Corvus sp.,jungle crow,Passeriformes,,
kelp_gull,Larus dominicanus,kelp gull,Charadriiformes,,
Kestrel,Falco sp.,kestrel,Falconiformes,,
kestrel,Falco sp.,kestrel,Falconiformes,,
knot_wader,Calidris canutus,red knot,Charadriiformes,,
Korean_native_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
korean_native_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
L-bl-ba-gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
Lady_Amherst's_pheasant,Chrysolophus amherstiae,Lady Amherst's pheasant,Galliformes,,
Lapwing,,lapwing,Charadriiformes,Charadriidae,
large-billed_crow,Corvus macrorhynchos,large-billed crow,Passeriformes,,
Laridae,,seabird,Charadriiformes,Laridae,
Larus_argentatus,Larus argentatus,European herring gull,Charadriiformes,,
Larus_canus,Larus canus,common gull,Charadriiformes,,
Larus_ridibundus,Chroicocephalus ridibundus,black-headed gull,Charadriiformes,,
laughing_gull,Leucophaeus atricilla,laughing gull,Charadriiformes,,
layer,Gallus gallus domesticus,domestic chicken,Galliformes,,y
layer_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
laying_hen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
least_sandpiper,Calidris minutilla,least sandpiper,Charadriiformes,,
Lesser_Black-backed_Gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
lesser_black-backed_gull,Larus fuscus,lesser black-backed gull,Charadriiformes,,
Lesser_scaup,Aythya affinis,lesser scaup,Anseriformes,,
lesser_scaup,Aythya affinis,lesser scaup,Anseriformes,,
lesser_snow_goose,Anser caerulescens,snow goose,Anseriformes,,
lesser_white-fronted_goose,Anser erythropus,lesser white-fronted goose,Anseriformes,,
lion,Panthera leo,lion,Carnivora,,
Little_egret,Egretta garzetta,little egret,Pelecaniformes,,
little_grebe,Tachybaptus ruficollis,little grebe,Podicipediformes,,
Little_gull,Hydrocoloeus minutus,little gull,Charadriiformes,,
little_owl,Athene noctua,little owl,Strigiformes,,
long-eared_owl,Asio otus,long-eared owl,Strigiformes,,
long-tailed_duck,Clangula hyemalis,long-tailed duck,Anseriformes,,
long-tailed_skua,Stercorarius longicaudus,long-tailed skua,Charadriiformes,,
Luscinia_cyane,Larvivora cyane,Siberian blue robin,Passeriformes,,
M_Swan,Cygnus olor,mute swan,Anseriformes,,
Magpie,Pica sp.,magpie,Passeriformes,,
magpie,Pica sp.,magpie,Passeriformes,,
Mal,,,,,
Mallard,Anas platyrhynchos,mallard,Anseriformes,,
mallard,Anas platyrhynchos,mallard,Anseriformes,,
Mallard_duck,Anas platyrhynchos,mallard,Anseriformes,,
Mallard_Duck,Anas platyrhynchos,mallard,Anseriformes,,
mallard_duck,Anas platyrhynchos,mallard,Anseriformes,,
mallard_x_black_duck,Anas platyrhynchos,mallard,Anseriformes,,
Mallard(Anas_platyrhynchos),Anas platyrhynchos,mallard,Anseriformes,,
mallardduck,Anas platyrhynchos,mallard,Anseriformes,,
Mandarin_duck,Aix galericulata,mandarin duck,Anseriformes,,
mandarin_duck,Aix galericulata,mandarin duck,Anseriformes,,
Meleagris_gallopavo,Meleagris gallopavo,wild turkey,Galliformes,,n
Mew_Gull,Larus canus,common gull,Charadriiformes,,
migratory_waterfowl,,waterfowl,Anseriformes,,
mink,,mink,Carnivora,Mustelidae,
Mink,,mink,Carnivora,Mustelidae,
mixed_domestic_Anatidae,,domestic waterfowl,Anseriformes,,y
mixed_domestic_Phasianidae,,domestic fowl,Galliformes,,y
Mixed_wild_birds,,bird,bird,,n
Morus_bassanus,Morus bassanus,northern gannet,Suliformes,,
Mulard_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
mulard_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Mulard_Duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
mule_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Mus_Dk,Mus musculus,mouse,Rodentia,,
Mus_musculus,Mus musculus,mouse,Rodentia,,
muscovy,Cairina moschata,muscovy duck,Anseriformes,,
muscovy_duck,Cairina moschata,muscovy duck,Anseriformes,,
Muscovy_duck,Cairina moschata,muscovy duck,Anseriformes,,
muscovyduck,Cairina moschata,muscovy duck,Anseriformes,,
Mustela_furo,Mustela furo,ferret,Carnivora,,
Mute_swan,Cygnus olor,mute swan,Anseriformes,,
mute_swan,Cygnus olor,mute swan,Anseriformes,,
Mute_Swan,Cygnus olor,mute swan,Anseriformes,,
MuteSwan,Cygnus olor,mute swan,Anseriformes,,
muteswan,Cygnus olor,mute swan,Anseriformes,,
mynah,,myna,Passeriformes,Sturnidae,
nativechicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
neotropic_cormorant,Nannopterum brasilianum,neotropic cormorant,Suliformes,,
None,,,,,
northern_gannet,Morus bassanus,northern gannet,Suliformes,,
Northern_Gannet,Morus bassanus,northern gannet,Suliformes,,
Northern_gannet,Morus bassanus,northern gannet,Suliformes,,
northern_goshawk,Accipiter gentilis,northern goshawk,Accipitriformes,,
Northern_Goshawk,Accipiter gentilis,northern goshawk,Accipitriformes,,
Northern_goshawk,Accipiter gentilis,northern goshawk,Accipitriformes,,
northern_lapwing,Vanellus vanellus,northern lapwing,Charadriiformes,,
Northern_pintail,Anas acuta,pintail,Anseriformes,,
Northern_Pintail,Anas acuta,pintail,Anseriformes,,
northern_Pintail,Anas acuta,pintail,Anseriformes,,
northern_pintail,Anas acuta,pintail,Anseriformes,,
Northern_shoveler,Spatula clypeata,shoveler,Anseriformes,,
northern_shoveler,Spatula clypeata,shoveler,Anseriformes,,
Northern_Shoveler,Spatula clypeata,shoveler,Anseriformes,,
nothern_gannet,Morus bassanus,northern gannet,Suliformes,,
Numenius_arquata,Numenius arquata,Eurasian curlew,Charadriiformes,,
Olive_baboons,Papio anubis,olive baboon,Primates,,
oriental_magpie_robin,Copsychus saularis,Oriental magpie-robin,Passeriformes,,
Oriental_magpie_robin,Copsychus saularis,Oriental magpie-robin,Passeriformes,,
Ornamental_bird,,bird,bird,,
Ostrich,Struthio sp.,ostrich,Struthioniformes,,
ostrich,Struthio sp.,ostrich,Struthioniformes,,
ostriches_(Struthio_camelus),Struthio camelus,ostrich,Struthioniformes,,
otter,,otter,Carnivora,Mustelidae,
Otus_scops,Otus scops,Eurasian scops owl,Strigiformes,,
owl,,owl,Strigiformes,,
oystercatcher,Haematopus sp.,oystercatcher,Charadriiformes,,
Oystercatcher,Haematopus sp.,oystercatcher,Charadriiformes,,
P_falcon,Falco peregrinus,peregrine falcon,Falconiformes,,
painted_stork,Mycteria leucocephala,painted stork,Ciconiiformes,,
partridge,,partridge,Galliformes,Phasianidae,
Pavo,Pavo sp.,peafowl,Galliformes,,
Pavo_cristatus,Pavo cristatus,Indian peafowl,Galliformes,,
peacock,Pavo sp.,peafowl,Galliformes,,
Peacock,Pavo sp.,peafowl,Galliformes,,
peafowl,Pavo sp.,peafowl,Galliformes,,
Pekin_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
pekin_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
Pelecanus_conspicillatus,Pelecanus conspicillatus,Australian pelican,Pelecaniformes,,
pelecanus_crispus,Pelecanus crispus,dalmatian pelican,Pelecaniformes,,
Pelecanus_occidentalis,Pelecanus occidentalis,brown pelican,Pelecaniformes,,
pelican,,pelican,Pelecaniformes,Pelecanidae,
Pelican,,pelican,Pelecaniformes,Pelecanidae,
peregrine_falcon,Falco peregrinus,peregrine falcon,Falconiformes,,
Peregrine_falcon,Falco peregrinus,peregrine falcon,Falconiformes,,
Perigrine_falcon,Falco peregrinus,peregrine falcon,Falconiformes,,
Peruvian_pelican,Pelecanus thagus,Peruvian pelican,Pelecaniformes,,
Phalacrocorax,Phalacrocorax sp.,cormorant,Suliformes,,
Phalacrocorax_carbo,Phalacrocorax carbo,great cormorant,Suliformes,,
Phasianus_colchicus,Phasianus colchicus,common pheasant,Galliformes,,
pheasant,,pheasant,Galliformes,Phasianidae,
Pheasant,,pheasant,Galliformes,Phasianidae,
Pica_pica,Pica pica,common magpie,Passeriformes,,
pig,Sus scrofa,domestic pig,Cetartiodactyla,,y
PIGEON,,pigeon,Columbiformes,Columbidae,
pigeon,,pigeon,Columbiformes,Columbidae,
Pigeon,,pigeon,Columbiformes,Columbidae,
pink_footed_goose,Anser brachyrhynchus,pink footed goose,Anseriformes,,
Pink-eared_Duck,Malacorhynchus membranaceus,pink-eared duck,Anseriformes,,
pink-eared_duck,Malacorhynchus membranaceus,pink-eared duck,Anseriformes,,
Pink-footed_Goose,Anser brachyrhynchus,pink footed goose,Anseriformes,,
pink-footed_goose,Anser brachyrhynchus,pink footed goose,Anseriformes,,
Pink-footed_goose,Anser brachyrhynchus,pink footed goose,Anseriformes,,
pintail,Anas acuta,pintail,Anseriformes,,
pintail_duck,Anas acuta,pintail,Anseriformes,,
pochard,,pochard,Anseriformes,Anatidae,
pochard_duck,,pochard,Anseriformes,Anatidae,
Podiceps_cristatus,Podiceps cristatus,great crested grebe,Podicipediformes,,
Poland,,,,,
polecat,,polecat,Carnivora,Mustelidae,
pomeranian_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
porpoise_,,porpoise,Cetartiodactyla,,
Poultry,,domestic chicken,Galliformes,,y
poultry,,domestic chicken,Galliformes,,y
Qu,,quail,Galliformes,,
Quail,,quail,Galliformes,,
quail,,quail,Galliformes,,
quail_,,quail,Galliformes,,
raccoon,Procyon lotor,raccoon,Carnivora,,
Rattus_norvegicus,Rattus novegicus,rat,Rodentia,,
raven,Corvus sp.,raven,Passeriformes,,
razorbill,Alca torda,razorbill,Charadriiformes,,
Red_fox,Vulpes vulpes,red fox,Carnivora,,
red_fox,Vulpes vulpes,red fox,Carnivora,,
Red_Fox,Vulpes vulpes,red fox,Carnivora,,
Red_Knot,Calidris canutus,red knot,Charadriiformes,,
red_knot,Calidris canutus,red knot,Charadriiformes,,
Red_knot,Calidris canutus,red knot,Charadriiformes,,
red-backed-hawk,Geranoaetus polyosoma,variable hawk ,Accipitriformes,,
Red-breasted_goose,Branta ruficollis,red-breasted goose,Anseriformes,,
red-crowned_crane,Grus japonensis,red-crowned crane,Gruiformes,,
red-shouldered_hawk,Buteo lineatus,red-shouldered hawk,Accipitriformes,,
red-tailed_hawk,Buteo jamaicensis,red-tailed hawk,Accipitriformes,,
Rhea,Rhea sp.,rhea,Rheiformes,,
rhea,Rhea sp.,rhea,Rheiformes,,
ring-billed_gull,Larus delawarensis,ring-billed gull,Charadriiformes,,
ring-necked_duck,Aythya collaris,ring-necked duck,Anseriformes,,
Ring-necked_Duck,Aythya collaris,ring-necked duck,Anseriformes,,
rook,Corvus frugilegus,rook,Passeriformes,,
Rook,Corvus frugilegus,rook,Passeriformes,,
rooster,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Ross's_goose,Anser rossii,Ross's goose,Anseriformes,,
Ruddy_Shelduck,Tadorna ferruginea,ruddy shelduck,Anseriformes,,
Ruddy_Turnstone,Arenaria interpres,ruddy turnstone,Charadriiformes,,
Ruddy_turnstone,Arenaria interpres,ruddy turnstone,Charadriiformes,,
ruddy_turnstone,Arenaria interpres,ruddy turnstone,Charadriiformes,,
ruddy_turnstone_,Arenaria interpres,ruddy turnstone,Charadriiformes,,
rural_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
rural_duck,Anas platyrhynchos domesticus,domestic duck,Anseriformes,,y
rural_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
rural_laying_hen,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Sacred_ibis,Threskiornis aethiopicus,African sacred ibis,Pelecaniformes,,
Sanderling,Calidris alba,sanderling,Charadriiformes,,
sanderling,Calidris alba,sanderling,Charadriiformes,,
sandpiper,,sandpiper,Charadriiformes,,
sandwich_tern,Thalasseus sandvicensis,Sandwich tern,Charadriiformes,,
Sandwich_Tern,Thalasseus sandvicensis,Sandwich tern,Charadriiformes,,
scarlet_ibis,Eudocimus ruber,scarlet ibis,Pelecaniformes,,
Sea_eagle,Haliaeetus sp.,sea eagle,Accipitriformes,,
sea_eagle,Haliaeetus sp.,sea eagle,Accipitriformes,,
Sea_Gull,,gull,Charadriiformes,,
seagull,,gull,Charadriiformes,,
seal,,seal,Carnivora,,
Sebastopol_goose,Anser anser domesticus,domestic goose,Anseriformes,,y
semipalmated_sandpiper,Calidris pusilla,semipalmated sandpiper,Charadriiformes,,
shelduck,Tadorna sp.,shelduck,Anseriformes,,
shorebird,,shorebird,Charadriiformes,,
Shorebird,,shorebird,Charadriiformes,,
short-eared_owl,Asio flammeus,short-eared owl,Strigiformes,,
Shoveler,Spatula clypeata,shoveler,Anseriformes,,
shoveler,Spatula clypeata,shoveler,Anseriformes,,
Shoveller,Spatula clypeata,shoveler,Anseriformes,,
shoveller_duck,Spatula clypeata,shoveler,Anseriformes,,
silkie_chicken,Gallus gallus domesticus,domestic chicken,Galliformes,,y
Silver_Pheasant,Lophura nycthemera,silver pheasant,Galliformes,,
skunk,,skunk,Carnivora,Mephitidae,
Skunk,,skunk,Carnivora,Mephitidae,
slaty-backed_gull,Larus schistisagus,slaty-backed gull,Charadriiformes,,
snow_goose,Anser caerulescens,snow goose,Anseriformes,,
snowy_owl,Bubo scandiacus,snowy owl,Strigiformes,,
Song_Thrush,Turdus philomelos,song thrush,Passeriformes,,
Sparrowhawk,Accipiter nisus,sparrowhawk,Accipitriformes,,
sparrowhawk,Accipiter nisus,sparrowhawk,Accipitriformes,,
Speckled_pigeon,Columba guinea,speckled pigeon,Columbiformes,,
spoonbill,Platalea,spoonbill,Pelecaniformes,,
Spoonbill,Platalea,spoonbill,Pelecaniformes,,
spot_billed_duck,Anas poecilorhyncha,Indian spot-billed duck,Anseriformes,,
spot-billed_duck,Anas poecilorhyncha,Indian spot-billed duck,Anseriformes,,
Spot-billed_Duck,Anas poecilorhyncha,Indian spot-billed duck,Anseriformes,,
spot-billed_pelican,Pelecanus philippensis,spot-billed pelican,Pelecaniformes,,
spotbill_duck,Anas poecilorhyncha,Indian spot-billed duck,Anseriformes,,
Spotted_dove,Spilopelia chinensis,spotted dove,Columbiformes,,
spur-winged_lapwing,Vanellus spinosus,spur-winged lapwing,Charadriiformes,,
steamer_duck,Tachyeres sp.,steamer duck,Anseriformes,,
Sterna_hirundo,Sterna hirundo,common tern,Charadriiformes,,
Stone_curlew,,stone-curlew,Charadriiformes,Burhinidae,
stork,,stork,Ciconiiformes,Ciconiidae,
Streptopelia_decaocto,Streptopelia decaocto,Eurasian collared dove,Columbiformes,,
striped_skunk,Mephitis mephitis,striped skunk,Carnivora,Mephitidae,
Sus_scrofa,Sus scrofa,domestic pig,Cetartiodactyla,,y
sw,Sus scrofa,domestic pig,Cetartiodactyla,,y
Sw,Sus scrofa,domestic pig,Cetartiodactyla,,y
swallow,,swallow,Passeriformes,Hirundinidae,
Swan,Cygnus cygnus,whooper swan,Anseriformes,,
swan,Cygnus cygnus,whooper swan,Anseriformes,,
swan_goose,Anser cygnoides,swan goose,Anseriformes,,
Swiftlet,,swiftlet,Apodiformes,Apodidae,
Swine,Sus scrofa,domestic pig,Cetartiodactyla,,y
swine,Sus scrofa,domestic pig,Cetartiodactyla,,y
Synthetic,,,,,
Syrrhaptes_paradoxus,Syrrhaptus paradoxus,Pallas's sandgrouse,Pterocliformes,,
T_Dk,,,,,
Tachybaptus_ruficollis,Tachybaptus ruficollis,little grebe,Podicipediformes,,
Taiga_bean_goose,Anser fabalis,bean goose,Anseriformes,,
tanuki,Nyctereutes viverrinus,raccoon dog,Carnivora,,
tawny_owl,Strix aluco,tawny owl,Strigiformes,,
teal,Anas sp.,teal,Anseriformes,,
Teal,Anas sp.,teal,Anseriformes,,
Thalasseus_sandvicensis,Thalasseus sandvicensis,sandwich tern,Charadriiformes,,
tiger,Panthera tigris,tiger,Carnivora,,
Towny_owel,Strix aluco,tawny owl,Strigiformes,,
Tufted_Duck,Aythya fuligula,tufted duck,Anseriformes,,
tufted_duck,Aythya fuligula,tufted duck,Anseriformes,,
tundra_bean_goose,Anser serrirostris,goose,Anseriformes,,
tundra_swan,Cygnus columbianus,swan,Anseriformes,,
Turkey,,turkey,Galliformes,Phasianidae,
turkey,,turkey,Galliformes,Phasianidae,
turtledove,Streptopelia turtur,turtledove,Columbiformes,,
Tyto_alba,Tyto alba,barn owl,Strigiformes,,
Ural_owl,Strix uralensis,ural owl,Strigiformes,,
Virginia_opossum,Didelphis virginiana,opossum,Marsupial,,
Von_Schrenck's_bittern,Ixobrychus eurhythmus,Von Schrenck's bittern,Pelecaniformes,,
Vulpes_vulpes,Vulpes vulpes,red fox,Carnivora,,
vulture,,bird,bird,,
Waterfowl,,waterfowl,Anseriformes,,
waterfowl,,waterfowl,Anseriformes,,
western_jackdaw,Coloeus monedula,western jackdaw,Passeriformes,,
western_marsh_harrier,Circus aeruginosus,western marsh harrier,Accipitriformes,,
whimbrel,Numenius sp.,whimbrel,Charadriiformes,,
whiskered_tern,Chlidonias hybrida,whiskered tern,Charadriiformes,,
whistling_duck,,whistling ducks,Anseriformes,Anatidae,
White_fronted_goose,Anser albifrons,goose,Anseriformes,,
White_peacock,Pavo sp.,peafowl,Anseriformes,,
White_stork,Ciconia ciconia,white stork,Ciconiiformes,,
white_stork,Ciconia ciconia,white stork,Ciconiiformes,,
white-backed_stilt,Himantopus melanurus,white-backed stilt,Charadriiformes,,
White-eyed_Pochard,Aythya nyroca,ferruginous duck,Anseriformes,,
White-fronted_Goose,Anser albifrons,goose,Anseriformes,,
White-fronted_goose,Anser albifrons,goose,Anseriformes,,
white-fronted_goose,Anser albifrons,goose,Anseriformes,,
white-fronted_Goose,Anser albifrons,goose,Anseriformes,,
White-fronted_goose(Anser_albifrons),Anser albifrons,goose,Anseriformes,,
White-fronted_Goose(Anser_albifrons),Anser albifrons,goose,Anseriformes,,
White-Tailed_Eagle,Haliaeetus albicilla,white-tailed eagle,Accipitriformes,,
white-tailed_eagle,Haliaeetus albicilla,white-tailed eagle,Accipitriformes,,
White-tailed_sea_eagle,Haliaeetus albicilla,white-tailed eagle,Accipitriformes,,
whooper_swan,Cygnus cygnus,swan,Anseriformes,,
Whooper_swan,Cygnus cygnus,swan,Anseriformes,,
Whooper_Swan,Cygnus cygnus,swan,Anseriformes,,
wigeon,Mareca,duck,Anseriformes,,
Wigeon,Mareca,duck,Anseriformes,,
wild_bird,,bird,bird,,n
Wild_bird,,bird,bird,,n
wild_boar,,wild boar,Cetartiodactyla,,n
wild_duck,Anas sp.,duck,Anseriformes,,n
Wild_Duck,Anas sp.,duck,Anseriformes,,n
Wild_geese,Anser sp.,goose,Anseriformes,,n
wild_goose,Anser sp.,goose,Anseriformes,,n
Wild_goose,Anser sp.,goose,Anseriformes,,n
wild_migratory_bird,,bird,bird,,n
wild_pigeon,,pigeon,Columbiformes,,n
wild_turkey,,turkey,Galliformes,,n
wild_waterfowl,,waterfowl,Anseriformes,,n
wildbird,,bird,bird,,n
Wildbirds_Guineafowl_Makou_Egyptian_Geese,,bird,bird,,n
wildfowl,,waterfowl,Anseriformes,,n
willet,Tringa semipalmata,willet,Charadriiformes,,
Withe-tiled_eagle,Haliaeetus albicilla,white-tailed eagle,Accipitriformes,,
wood_duck,Aix sponsa,wood duck,Anseriformes,,
yak,Bos grunniens,yak,Cetartiodactyla,,
yellow-billed_pintail,Anas georgica,yellow-billed pintail,Anseriformes,,
yellow-billed_teal,Anas flavirostris,yellow-billed teal,Anseriformes,,
yellow-legged_gull,Larus michahellis,yellow-legged gull,Charadriiformes,,